,codigo,descricao,sum,min,max,mean,std,total_movimento,minimo_mes,maximo_mes,media_mensal
1123,08979,CHAPEU PB PEND AL 611 COBRE,8,2,4,2.6666666666666665,1.1547005383792515,8,2,4,2.6666666666666665
1124,08982,CHAPEU ARANDELA  AL 613 PINT PRETO,16,4,8,5.333333333333333,2.309401076758503,16,4,8,5.333333333333333
1125,08984,"BALIZADOR AL 2"" X 450MM PRETO LISO",62,2,50,20.666666666666668,25.716402029314544,62,2,50,20.666666666666668
1126,08987,CONJ PENDENTE OURO VELHO 335 VINTAGE,213,2,108,15.214285714285714,26.97057819017026,213,6,108,23.666666666666668
1127,08988,ARANDELA INJETADA OURO VELHO 336/338,264,12,24,14.666666666666666,5.133511583357983,264,12,36,24.0
1128,08990,"DISCO AL FURO 3,5MM ARAND EVOQ COBRE",4,4,4,4.0,,4,4,4,4.0
1129,08991,"DISCO AL CANOPLA 100X25X0,8 FURO/ SUP SO",32,2,10,5.333333333333333,3.444802848737017,32,2,10,6.4
1130,08993,"DISCO AL CANOPLA 100X25X0,8 PRETO LISO",21,2,10,7.0,4.358898943540674,21,2,10,7.0
1131,08994,"TUBO ALUMINIO 7/8""X 600MM",98,18,50,32.666666666666664,16.165807537309522,98,18,50,32.666666666666664
1132,08995,COPO AL SLIN 120 MM BRANCO LISO,168,2,36,11.2,7.884886084873298,168,2,52,16.8
1133,08996,COPO AL SLIN 120 MM PRETO LISO,122,1,32,8.133333333333333,7.899969861304776,122,2,32,11.090909090909092
1134,08999,COPO AL SLIN  90 MM BRANCO LISO,16,4,12,8.0,5.656854249492381,16,4,12,8.0
1135,09000,COPO AL SLIN  90 MM PRETO LISO,47,1,30,11.75,13.022416570411705,47,1,30,11.75
1136,09008,CONJ SOQ GU10 35 CM SOLDADO,43,1,12,7.166666666666667,4.750438576243952,43,1,24,10.75
1137,09009,CONJ SOQ GU10 45 CM SOLDADO,20,20,20,20.0,,20,20,20,20.0
1138,09012,PORCA AL USINADA ROSCA M10 COBRE,53,4,32,8.833333333333334,11.356349178616632,53,4,37,13.25
1139,09016,ARANDELA ALZ QUADRADA 30 CM LINHA EVOQUE,61,1,32,10.166666666666666,11.070983093956322,61,1,32,15.25
1140,09017,ARANDELA ALZ 30 CM QUADRADA BRANCO LISO,48,4,32,12.0,13.466006584482772,48,4,32,12.0
1141,09018,CONJ SOQ 26 CM PARAL PR ELE ESPETO DESLO,316,2,64,17.555555555555557,14.365900075084758,316,2,84,28.727272727272727
1142,09019,PARAF MAQ BSW PAN PHS 5/32 X 7/8  ZB,179,1,36,13.76923076923077,11.64870412072981,179,1,84,19.88888888888889
1143,09020,PORCA ZAMACK MAQ BSW BORBOLETA 5/32  ZB,179,1,36,13.76923076923077,11.64870412072981,179,1,84,19.88888888888889
1144,09023,ARANDELA ALZ REDONDA 30 CM LINHA EVOQUE,36,4,12,7.2,3.3466401061363023,36,4,12,7.2
1145,09027,ARANDELA ALZ QUAD 250 MM LINHA EVOQUE,114,6,36,19.0,11.64474130240771,114,6,84,28.5
1146,09029,ARANDELA ALZ 25 CM QUADRADA BRANCO LISO,54,18,36,27.0,12.727922061357855,54,18,36,27.0
1147,09046,CX PAP SIMPLES PARDA KRAFT REF: 631,222,1,36,10.090909090909092,10.164874584798149,222,1,84,15.857142857142858
1148,09050,CX PAP SIMPLES PARDA KRAFT R:260/1,601,0,21,1.9262820512820513,2.0392487166972546,601,8,66,23.115384615384617
1149,09052,CX PAP SIMPLES MASTER 525X300X300  R:558,12,12,12,12.0,,12,12,12,12.0
1150,09054,CX PAP SIMPLES MASTER 725X154X320  R:562,6,1,5,3.0,2.8284271247461903,6,1,5,3.0
1151,09057,CX PAP SIMPLES PARDA KRAFT R:563,29,2,6,3.625,1.5059406173077154,29,2,7,4.833333333333333
1152,09058,ROTULO LINHA BRILHUS PENDENTE 602,103,1,50,11.444444444444445,15.533118739576343,103,1,50,14.714285714285714
1153,09059,ROTULO LINHA BRILHUS PENDENTE 600,7,7,7,7.0,,7,7,7,7.0
1154,09060,ROTULO LINHA BRILHUS PENDENTE 601,165,1,40,8.68421052631579,12.50356674259588,165,1,120,13.75
1155,09061,ROTULO LINHA DELUXE PENDENTE 610,266,1,24,6.487804878048781,4.249246705120286,266,1,36,13.3
1156,09062,ROTULO LINHA DELUXE PENDENTE 611,160,1,12,3.404255319148936,2.193464348112019,160,2,18,8.0
1157,09063,ROTULO LINHA DELUXE PENDENTE 612,14,1,6,2.3333333333333335,1.96638416050035,14,1,8,2.8
1158,09064,ROTULO LINHA DELUXE ARANDELA 613/1,53,4,32,8.833333333333334,11.356349178616632,53,4,37,13.25
1159,09065,ROTULO LINHA DELUXE ARANDELA 613/2,4,4,4,4.0,,4,4,4,4.0
1160,09066,ROTULO LINHA EVOQUE ARANDELA 630/2,36,4,12,7.2,3.3466401061363023,36,4,12,7.2
1161,09067,ROTULO LINHA EVOQUE ARANDELA 631/2,65,1,32,9.285714285714286,10.371664696249516,65,1,32,13.0
1162,09069,ROTULO LINHA EVOQUE ARANDELA 631/1,114,6,36,19.0,11.64474130240771,114,6,84,28.5
1163,09070,ROTULO LINHA JARDINS BALIZADOR INJETADO ,32,2,12,4.571428571428571,3.4086724129853865,32,4,12,6.4
1164,09072,ROTULO LINHA JARDINS BALIZADOR AL 50 CM,62,2,50,20.666666666666668,25.716402029314544,62,2,50,20.666666666666668
1165,09073,ROTULO LINHA JARDINS BALIZADOR AL 70 CM,29,2,6,3.625,1.5059406173077154,29,2,7,4.833333333333333
1166,09076,ROTULO LINHA INFINITY TRILHO 107,30,2,12,5.0,3.521363372331802,30,2,16,10.0
1167,09077,ROTULO LINHA SLIN TRILHO 583,5,1,4,2.5,2.1213203435596424,5,1,4,2.5
1168,09080,CX PAP SIMPLES MASTER 325X310X300 R:554,1,1,1,1.0,,1,1,1,1.0
1169,09081,TRAVESSA ACO LD14B ZB C/ ROSCA 5/32INTER,179,1,36,13.76923076923077,11.64870412072981,179,1,84,19.88888888888889
